dim_production_location_id,country_code,country_name,dim_production_id,production_code,production_name,dim_auditorium_id,production_location_id,sales_start_date,production_location_premiere_date,production_location_start_date,production_location_end_date,production_location_derniere_date,is_expired,production_location_capacity,production_location_description,production_location_type,show_in_group_sales_reporting,show_in_group_salesreporting_name
103,DE,Germany,7,MM,Mamma Mia!,11,DE - MM - MET - 1,2014-09-04 00:00:00.000,2015-03-06 00:00:00.000,2015-03-06 00:00:00.000,2015-10-02 00:00:00.000,2015-10-02 00:00:00.000,1,1616,_N/A,Sit Down,1,Yes
104,DE,Germany,12,SIA,Sister Act,6,DE - SIA - OPH - 1,2008-12-15 00:00:00.000,2010-12-02 00:00:00.000,2010-12-04 00:00:00.000,2012-08-26 00:00:00.000,2012-08-26 00:00:00.000,1,1385,_N/A,Sit Down,1,Yes
105,DE,Germany,12,SIA,Sister Act,2,DE - SIA - APO - 1,2012-03-20 00:00:00.000,2012-12-09 00:00:00.000,2012-12-11 00:00:00.000,2013-09-25 00:00:00.000,2013-09-25 00:00:00.000,1,1844,_N/A,Sit Down,1,Yes
106,DE,Germany,12,SIA,Sister Act,11,DE - SIA - MET - 1,2013-06-04 00:00:00.000,2013-12-03 00:00:00.000,2013-12-05 00:00:00.000,2015-02-12 00:00:00.000,2015-02-12 00:00:00.000,1,1617,_N/A,Sit Down,1,Yes
107,DE,Germany,12,SIA,Sister Act,9,DE - SIA - TDW - 1,2016-03-16 00:00:00.000,2016-10-16 00:00:00.000,2016-10-18 00:00:00.000,2017-01-25 00:00:00.000,2017-01-25 00:00:00.000,1,1647,_N/A,Sit Down,1,Yes
109,ES,Spain,17,_N/A,_N/A,13,ES - _N/A,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_N/A,_N/A,0,No
110,RU,Russia,18,_N/A,_N/A,14,RU - _N/A,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_N/A,_N/A,0,No
111,FR,France,19,_N/A,_N/A,15,FR - _N/A,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_N/A,_N/A,0,No
112,NL,Netherlands,20,_N/A,_N/A,16,NL - _N/A,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_N/A,_N/A,0,No
113,DE,Germany,21,_N/A,_N/A,17,DE - _N/A,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_N/A,_N/A,0,No
114,ES,Spain,22,_UNK,_Unknown,18,ES - _UNK,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_UNK,_UNK,0,No
115,RU,Russia,23,_UNK,_Unknown,19,RU - _UNK,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_UNK,_UNK,0,No
116,FR,France,24,_UNK,_Unknown,20,FR - _UNK,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_UNK,_UNK,0,No
117,NL,Netherlands,25,_UNK,_Unknown,21,NL - _UNK,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_UNK,_UNK,0,No
118,DE,Germany,26,_UNK,_Unknown,22,DE - _UNK,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,1900-01-01 00:00:00.000,0,0,_UNK,_UNK,0,No
123,RU,Russia,53,POTO,Призрак Оперы,24,RU - POTO - MDM - 1,2014-03-11 00:00:00.000,2014-10-04 00:00:00.000,2014-10-05 00:00:00.000,2016-04-30 00:00:00.000,2016-04-30 00:00:00.000,1,1582,_N/A,Sit Down,1,Yes
