DimPriceTypeId,PriceTypeId,PriceTypeName,PriceTypeGroup
199,PRO - GRRES - PROMO RESELLERS B2B,PROMO RESELLERS B2B,PROMOTION
200,F&B - CHAMP - CHAMPAGNE,CHAMPAGNE,FOOD & BEVERAGE
201,FP - BCD - BONS CADEAUX B2C,BONS CADEAUX B2C,FULL PRICE
202,STD - GRBC - BONS CADEAUX B2B,BONS CADEAUX B2B,PROMOTION
203,FP - BCRES - BONS CADEAUX RESELLERS,BONS CADEAUX RESELLERS,FULL PRICE
204,STD - GRBCRES - BONS CADEAUX RESELLERS B2B,BONS CADEAUX RESELLERS B2B,PROMOTION
205,PROG - PROGRAMME,PROGRAMME,PROGRAMME
206,REP - SEATS - REPORTS SEATS,REPORTS SEATS,PROMOTION
207,F&B - SOFT - SOFT BEVERAGE,SOFT BEVERAGE,FOOD & BEVERAGE
208,STAFF  - STAFF STAGE,STAFF STAGE,PROMOTION
209,PRO - 2=189 - 2 FOR 189,2 FOR 189,PROMOTION
210,PRO - 2=199 - 2 FOR 199,2 FOR 199,PROMOTION
211,PRO - 2=209 - 2 FOR 209,2 FOR 209,PROMOTION
212,PRO - 2=219 - 2 FOR 219,2 FOR 219,PROMOTION
213,PRO - 2=229 - 2 FOR 229,2 FOR 229,PROMOTION
214,STAFF - P - STAFF,STAFF,PROMOTION
215,PRO - 25FPRF - 25€ FIXED PRICE + RF,25€ FIXED PRICE + RF,PROMOTION
216,PRO - 30PRF - 30% DISCOUNT + RF,30% DISCOUNT + RF,PROMOTION
217,PRO - 2VIS - SECOND VISIT,SECOND VISIT,PROMOTION
218,PRO - STUD - STUDENT TICKET,STUDENT TICKET,PROMOTION
219,PRO - AMF - 1YI AMFITEATR=2OI,1YI AMFITEATR=2OI,FULL PRICE
220,PRO - GRNDPRT - GRAND PARTER,GRAND PARTER,FULL PRICE
221,PRO - STNDR - PRICE - STANDART TCENA,STANDART TCENA,FULL PRICE
222,PRO - PREM - TARIF - PREMIALNIY TARIF,PREMIALNIY TARIF,FULL PRICE
223,PNI - PNI,PNI,FULL PRICE
224,PRO - 12P - 12% DISCOUNT,12% DISCOUNT,PROMOTION
225,PRO -9P - 9% DISCOUNT,9% DISCOUNT,PROMOTION
226,PRO - PRO - PROMO,PROMO,PROMOTION
227,B2B DISCNT - B2B,B2B,FULL PRICE
228,PRO -7P - 7% DISCOUNT,7% DISCOUNT,PROMOTION
229,PRO - 17P - 17% DISCOUNT,17% DISCOUNT,PROMOTION
230,PRO - 3P - 3% DISCOUNT,3% DISCOUNT,PROMOTION
231,PRO - STNDPR +10 - STANDART TCENA,STANDART TCENA,FULL PRICE
232,PRO - STNDPR +20 - STANDART TCENA,STANDART TCENA,FULL PRICE
233,PRO - STNDPR +5 - STANDART TCENA,STANDART TCENA,FULL PRICE
234,PRO - PREM - LODGE - PREMIUM LODGE,PREMIUM LODGE,FULL PRICE
235,PRO - 45P - 45% DISCOUNT,45% DISCOUNT,PROMOTION
236,PRO - 11P - 11% DISCOUNT,11% DISCOUNT,PROMOTION
237,PRO - RES - МТС БОНУС,МТС БОНУС,PROMOTION
238,PRO - 500 - RUR - 500 RUR,500 RUR,PROMOTION
239,FEE - FEE - SERVICE FEE,SERVICE FEE,FEE
240,PRO - 6P - 6% DISCOUNT,6% DISCOUNT,PROMOTION
241,PRO - LAST - TICK - LAST TICKETS,LAST TICKETS,FULL PRICE
242,PRO - 2P - 2% DISCOUNT,2% DISCOUNT,PROMOTION
243,PRO - 72HRS - 72 HOURS,72 HOURS,PROMOTION
244,PRO - PPRF - PRODUCT PLUS + RF,PRODUCT PLUS + RF,PROMOTION
245,INV - SPO - INVITATIONS SPONSORS,INVITATIONS SPONSORS,PROMOTION
246,INV - PREV - INVITATIONS PREVIEWS,INVITATIONS PREVIEWS,PROMOTION
247,INV - GALA - INVITATIONS GALA,INVITATIONS GALA,PROMOTION
248,INV - HS - INVITATIONS HOUSE SEATS,INVITATIONS HOUSE SEATS,PROMOTION
249,STD - IND - INDIVIDUAL,INDIVIDUAL,PROMOTION
250,SER - SERVITUDES - SERVITUDES,SERVITUDES,PROMOTION
251,FEE - SEV - SERVICE,SERVICE,FEE
252,"PRO - 10990FP - 109,90€ FIXED PRICE","109,90€ FIXED PRICE",PROMOTION
253,PRO - ALD - ALDI,ALDI,PROMOTION
254,PRO - 35D - 35€ DISCOUNT,35€ DISCOUNT,PROMOTION
255,PRO - 45D - 45€ DISCOUNT,45€ DISCOUNT,PROMOTION
256,PRO - 50D - 15€ DISCOUNT,50€ DISCOUNT,PROMOTION
257,PRO - 50D - 50€ DISCOUNT,50€ DISCOUNT,PROMOTION
258,FP - KAR - FULL PRICE KARAOKE,FULL PRICE KARAOKE,FULL PRICE
259,"PRO - 1990FP - 19,90€ FIXED PRICE","19,90€ FIXED PRICE",PROMOTION
260,PRO - HHT P - HHT PACKAGE,HHT PACKAGE,PROMOTION
261,UK - _N/A,_N/A,_N/A
262,UK - _UNK,_Unknown,_Unknown
263,F&B - WINE - WINE,WINE,FOOD & BEVERAGE
